Hour,Avg_Outdoor_°C,Min_Outdoor_°C,Max_Outdoor_°C,Avg_Flow_°C,Min_Flow_°C,Max_Flow_°C,Sample_Count
2026-01-25 23:00,-0.21,0.0,0.0,47.88,45.0,52.75,8
2026-01-26 00:00,-0.45,-0.67,-0.08,50.77,49.0,52.75,13
2026-01-26 01:00,-1.0,-1.0,-1.0,46.93,33.0,52.0,16
2026-01-26 02:00,-1.0,-1.0,-1.0,51.13,50.0,52.0,5
2026-01-26 03:00,-2.0,-2.0,-2.0,46.88,45.5,48.0,5
2026-01-26 04:00,-2.0,-2.0,-2.0,50.63,42.5,57.5,5
2026-01-26 05:00,-2.0,-2.0,-2.0,47.19,32.0,50.25,13
2026-01-26 06:00,-2.0,-2.0,-2.0,49.0,49.0,49.5,3
2026-01-26 10:00,-2.85,-3.0,-2.91,45.31,40.5,46.5,5
2026-01-26 11:00,-2.04,-2.36,-1.55,41.88,35.5,44.0,15
2026-01-26 12:00,-1.15,-1.27,-1.0,42.60,41.5,43.5,10
2026-01-26 13:00,-0.33,-0.75,-0.08,40.70,40.0,41.5,16
2026-01-26 14:00,0.0,0.0,0.0,39.26,38.5,40.0,15
2026-01-26 15:00,0.0,0.0,0.0,37.80,37.5,38.5,15
2026-01-26 16:00,0.0,0.0,0.0,33.69,29.5,37.0,10
2026-01-26 17:00,0.0,0.0,0.0,36.50,36.5,36.5,15
2026-01-26 18:00,0.0,0.0,0.0,36.98,36.5,37.0,15
2026-01-26 19:00,0.0,0.0,0.0,36.75,36.5,37.0,15
2026-01-26 20:00,0.0,0.0,0.0,36.83,36.5,37.0,15
2026-01-26 21:00,0.0,0.0,0.0,37.0,37.0,37.0,12
2026-01-26 22:00,0.0,0.0,0.0,37.08,37.0,37.5,11
2026-01-26 23:00,0.0,0.0,0.0,34.50,29.0,37.5,5
